ContryAdditional,Country,commonBorderNoComma,BorderingCountry
Uganda,Uganda,765,Democratic Republic of the Congo
Uganda,Uganda,933, Kenya
Ukraine,Ukraine,1 576,[43] Russia
Ukraine,Ukraine,103, Hungary
Ukraine,Ukraine,526, Poland
Ukraine,Ukraine,531, Romania (2)
Ukraine,Ukraine,891,Belarus
Ukraine,Ukraine,939, Moldova
Ukraine,Ukraine,97, Slovakia
United Arab Emirates,United Arab Emirates,410,Oman (4)
United Arab Emirates,United Arab Emirates,457, Saudi Arabia
"United Kingdom (plus British overseas territories and Crown dependencies) →including:
→ Akrotiri and Dhekelia→ Anguilla→ Bermuda→ British Indian Ocean Territory→ British Virgin Islands→ Cayman Islands→ Falkland Islands→ Gibraltar→ Guernsey→ Isle of Man→ Jersey→ Montserrat→ Pitcairn Islands→ Saint Helena, Ascension and Tristan da Cunha→ South Georgia and the South Sandwich Islands→ Turks and Caicos Islands",United Kingdom,1.2, Spain
"United Kingdom (plus British overseas territories and Crown dependencies) →including:
→ Akrotiri and Dhekelia→ Anguilla→ Bermuda→ British Indian Ocean Territory→ British Virgin Islands→ Cayman Islands→ Falkland Islands→ Gibraltar→ Guernsey→ Isle of Man→ Jersey→ Montserrat→ Pitcairn Islands→ Saint Helena, Ascension and Tristan da Cunha→ South Georgia and the South Sandwich Islands→ Turks and Caicos Islands",United Kingdom,152,Cyprus (5)
"United Kingdom (plus British overseas territories and Crown dependencies) →including:
→ Akrotiri and Dhekelia→ Anguilla→ Bermuda→ British Indian Ocean Territory→ British Virgin Islands→ Cayman Islands→ Falkland Islands→ Gibraltar→ Guernsey→ Isle of Man→ Jersey→ Montserrat→ Pitcairn Islands→ Saint Helena, Ascension and Tristan da Cunha→ South Georgia and the South Sandwich Islands→ Turks and Caicos Islands",United Kingdom,499, Ireland
United Kingdom[47],United Kingdom,499,Ireland
United States,United States,3 141,[17] Mexico
United States,United States,8 893,Canada (4)
Uruguay,Uruguay,579,Argentina
Uruguay,Uruguay,985, Brazil
Uzbekistan,Uzbekistan,1 099, Kyrgyzstan (6)
Uzbekistan,Uzbekistan,1 161, Tajikistan (2)
Uzbekistan,Uzbekistan,1 621, Turkmenistan
Uzbekistan,Uzbekistan,137,Afghanistan
Uzbekistan,Uzbekistan,2 203, Kazakhstan
Vatican City,Vatican City,3.2,Italy
Venezuela,Venezuela,2 050, Colombia
Venezuela,Venezuela,2 200,Brazil
Venezuela,Venezuela,743, Guyana
Western Sahara[6],Western Sahara,1 561, Mauritania
Western Sahara[6],Western Sahara,42,Algeria
Western Sahara[6],Western Sahara,443, Morocco
Vietnam,Vietnam,1 228,Cambodia
Vietnam,Vietnam,1 281, People's Republic of China
Vietnam,Vietnam,2 130, Laos
Yemen,Yemen,1 458, Saudi Arabia
Yemen,Yemen,288,Oman
Zambia,Zambia,0.15, Botswana
Zambia,Zambia,1 110,Angola
Zambia,Zambia,1 930, Democratic Republic of the Congo
Zambia,Zambia,233, Namibia
Zambia,Zambia,338, Tanzania
Zambia,Zambia,419, Mozambique
Zambia,Zambia,797, Zimbabwe
Zambia,Zambia,837, Malawi
Zimbabwe,Zimbabwe,1 231, Mozambique
Zimbabwe,Zimbabwe,225, South Africa
Zimbabwe,Zimbabwe,797, Zambia
Zimbabwe,Zimbabwe,813,Botswana
